date,value,series,baseline,index
2007-10-01,88.26723,ibc,77.53521833333333,113.84146700990567
2007-11-01,88.23731,ibc,77.53521833333333,113.80287809425784
2007-12-01,89.02285,ibc,77.53521833333333,114.81601769312103
2008-01-01,89.15936,ibc,77.53521833333333,114.99207962076416
2008-02-01,88.9869,ibc,77.53521833333333,114.7696516664653
2008-03-01,88.33783,ibc,77.53521833333333,113.93252240578589
2008-04-01,89.58499,ibc,77.53521833333333,115.54103016111111
2008-05-01,90.41852,ibc,77.53521833333333,116.61606421391603
2008-06-01,91.23337,ibc,77.53521833333333,117.66700598917082
2008-07-01,91.25973,ibc,77.53521833333333,117.70100344293006
2008-08-01,91.44387,ibc,77.53521833333333,117.93849551938023
2008-09-01,91.42616,ibc,77.53521833333333,117.91565428622101
2008-10-01,89.59419,ibc,77.53521833333333,115.55289573677821
2008-11-01,87.39061,ibc,77.53521833333333,112.71085821193813
2008-12-01,85.01162,ibc,77.53521833333333,109.64258801016682
2009-01-01,84.8414,ibc,77.53521833333333,109.42304906559559
2009-02-01,85.49654,ibc,77.53521833333333,110.26800702674231
2009-03-01,86.02971,ibc,77.53521833333333,110.95565582874588
2009-04-01,86.39738,ibc,77.53521833333333,111.42985324239001
2009-05-01,87.20323,ibc,77.53521833333333,112.46918738927478
2009-06-01,87.73552,ibc,77.53521833333333,113.15570122317102
2009-07-01,87.94688,ibc,77.53521833333333,113.428299926758
2009-08-01,89.37353,ibc,77.53521833333333,115.26830248387556
2009-09-01,90.10765,ibc,77.53521833333333,116.21512383265144
2009-10-01,90.81846,ibc,77.53521833333333,117.13188142394904
2009-11-01,90.92052,ibc,77.53521833333333,117.26351192966482
2009-12-01,92.28337,ibc,77.53521833333333,119.02122929900393
2010-01-01,93.64349,ibc,77.53521833333333,120.77542568773747
2010-02-01,94.52561,ibc,77.53521833333333,121.91312803637555
2010-03-01,95.52652,ibc,77.53521833333333,123.20403818213276
2010-04-01,96.00622,ibc,77.53521833333333,123.82272477425367
2010-05-01,95.22033,ibc,77.53521833333333,122.80913376762057
2010-06-01,94.97856,ibc,77.53521833333333,122.49731417750785
2010-07-01,95.55883,ibc,77.53521833333333,123.24570956798107
2010-08-01,96.16402,ibc,77.53521833333333,124.02624519167429
2010-09-01,97.01382,ibc,77.53521833333333,125.12226325709923
2010-10-01,96.86075,ibc,77.53521833333333,124.92484329325526
2010-11-01,97.95845,ibc,77.53521833333333,126.34058703344937
2010-12-01,96.93179,ibc,77.53521833333333,125.01646617318913
2011-01-01,98.13917,ibc,77.53521833333333,126.57366821111893
2011-02-01,98.54247,ibc,77.53521833333333,127.09381893574341
2011-03-01,98.53389,ibc,77.53521833333333,127.08275299669735
2011-04-01,98.62589,ibc,77.53521833333333,127.20140875336845
2011-05-01,98.78085,ibc,77.53521833333333,127.4012663191701
2011-06-01,99.11391,ibc,77.53521833333333,127.83082595304917
2011-07-01,99.26053,ibc,77.53521833333333,128.0199271165613
2011-08-01,99.19216,ibc,77.53521833333333,127.93174783304386
2011-09-01,99.06673,ibc,77.53521833333333,127.76997618566068
2011-10-01,99.00694,ibc,77.53521833333333,127.69286284118931
2011-11-01,99.47487,ibc,77.53521833333333,128.29636923487521
2011-12-01,98.5296,ibc,77.53521833333333,127.07722002717432
2012-01-01,97.326,ibc,77.53521833333333,125.5248931931599
2012-02-01,98.26784,ibc,77.53521833333333,126.73961860471536
2012-03-01,98.02892,ibc,77.53521833333333,126.43147476358646
2012-04-01,98.47809,ibc,77.53521833333333,127.01078570080335
2012-05-01,99.61673,ibc,77.53521833333333,128.47933125271612
2012-06-01,100.33118,ibc,77.53521833333333,129.40078348482115
2012-07-01,100.50283,ibc,77.53521833333333,129.6221667525667
2012-08-01,100.8313,ibc,77.53521833333333,130.04580649597705
2012-09-01,100.42317,ibc,77.53521833333333,129.51942634412737
2012-10-01,101.25774,ibc,77.53521833333333,130.59580172287727
2012-11-01,101.11153,ibc,77.53521833333333,130.40722935132425
2012-12-01,100.67255,ibc,77.53521833333333,129.84106082889514
2013-01-01,101.32331,ibc,77.53521833333333,130.68036974423515
2013-02-01,100.35893,ibc,77.53521833333333,129.43657367229528
2013-03-01,101.36727,ibc,77.53521833333333,130.73706656014016
2013-04-01,102.48931,ibc,77.53521833333333,132.18420248639268
2013-05-01,102.64895,ibc,77.53521833333333,132.39009601894674
2013-06-01,102.29273,ibc,77.53521833333333,131.93066608806222
2013-07-01,102.65475,ibc,77.53521833333333,132.39757649056298
2013-08-01,102.96846,ibc,77.53521833333333,132.80217972344653
2013-09-01,103.47836,ibc,77.53521833333333,133.4598163574312
2013-10-01,103.4262,ibc,77.53521833333333,133.39254370234462
2013-11-01,103.70913,ibc,77.53521833333333,133.7574488462028
2013-12-01,103.99242,ibc,77.53521833333333,134.1228182951958
2014-01-01,103.66722,ibc,77.53521833333333,133.7033959900932
2014-02-01,103.37726,ibc,77.53521833333333,133.32942399874156
2014-03-01,103.25041,ibc,77.53521833333333,133.16582092554887
2014-04-01,102.81405,ibc,77.53521833333333,132.60303151271194
2014-05-01,102.44865,ibc,77.53521833333333,132.13176180089002
2014-06-01,100.26057,ibc,77.53521833333333,129.30971519157606
2014-07-01,101.02757,ibc,77.53521833333333,130.29894307599702
2014-08-01,101.91123,ibc,77.53521833333333,131.43863161882285
2014-09-01,102.47056,ibc,77.53521833333333,132.16001992728854
2014-10-01,101.58429,ibc,77.53521833333333,131.0169651722354
2014-11-01,101.77278,ibc,77.53521833333333,131.26006760239773
2014-12-01,102.18535,ibc,77.53521833333333,131.7921741842433
2015-01-01,101.30483,ibc,77.53521833333333,130.65653541398208
2015-02-01,100.64945,ibc,77.53521833333333,129.81126791607883
2015-03-01,100.46625,ibc,77.53521833333333,129.5749881919251
2015-04-01,99.12964,ibc,77.53521833333333,127.85111350796694
2015-05-01,98.45711,ibc,77.53521833333333,126.98372702933641
2015-06-01,97.51139,ibc,77.53521833333333,125.76399744021703
2015-07-01,96.37133,ibc,77.53521833333333,124.29362046249477
2015-08-01,96.85754,ibc,77.53521833333333,124.92070323913664
2015-09-01,96.1621,ibc,77.53521833333333,124.02376889762203
2015-10-01,96.51788,ibc,77.53521833333333,124.48263134445293
2015-11-01,95.53499,ibc,77.53521833333333,123.21496225016541
2015-12-01,95.33322,ibc,77.53521833333333,122.95473211947493
2016-01-01,94.88503,ibc,77.53521833333333,122.37668512401385
2016-02-01,94.74894,ibc,77.53521833333333,122.20116488569464
2016-03-01,94.07764,ibc,77.53521833333333,121.33536478294134
2016-04-01,94.02558,ibc,77.53521833333333,121.26822110150333
2016-05-01,93.7981,ibc,77.53521833333333,120.97483184576919
2016-06-01,93.95613,ibc,77.53521833333333,121.1786489025815
2016-07-01,93.64776,ibc,77.53521833333333,120.7809328625308
2016-08-01,93.39899,ibc,77.53521833333333,120.46008511701918
