date,value,series
2021-04-01,171.94,pib
2021-07-01,172.2,pib
2021-10-01,174.49,pib
2022-01-01,175.7,pib
2022-04-01,177.71,pib
2022-07-01,179.58,pib
2022-10-01,180.35,pib
2023-01-01,182.75,pib
2023-04-01,184.2,pib
2023-07-01,184.45,pib
2023-10-01,185.14,pib
